Title,blog_url,description
Gizmodo,https://gizmodo.com/,"Originally launched as a part of Gawker Media Network, Gizmodo is a design, technology, science and science fiction website that also features articles on politics."
9to5Mac,https://9to5mac.com/,"Founded by Seth Weintraub 13 years ago, 9to5Mac is the leading website within the Apple News Community in terms of breaking impactful news."
Mac Rumors,https://www.macrumors.com/,"Founded and owned by Arnold Kim, MacRumors attracts a broad audience of both consumers and professionals interested in the latest technologies and products."
Engadget,https://www.engadget.com/,"An original home for technology news and reviews, Engadget produces the internet's most compelling videos, reviews, features and breaking news about the people, products and ideas shaping our world."
CNET,https://www.cnet.com/news/,"CNET tracks all the latest consumer technology breakthroughs and shows you what's new, what matters and how technology can enrich your life."
Digital Trends,https://www.digitaltrends.com/,"Digital Trends is a technology news, lifestyle, and information website that publishes news, reviews, how-tos, videos and podcasts about technology and consumer electronics products."
VentureBeat,https://venturebeat.com/,"Founded 14 years ago, VentureBeat is the leading source for news, events, groundbreaking research and perspective on technology innovation."
The Verge,https://www.theverge.com/,The Verge is an ambitious multimedia effort founded nine years ago to examine how technology will change life in the future for a massive mainstream audience.
Mashable,https://mashable.com/,"Mashable is a global, multi-platform media and entertainment company. Powered by its own proprietary technology, Mashable is the go-to source for tech, digital culture and entertainment content."
Apple Insider,http://appleinsider.com/,"Launched over 20 years ago as a news and rumor website for Apple products and services, appleinsider.com includes a forum for discussion of news stories and other community news."
SiliconANGLE,https://siliconangle.com/,"SiliconAngle is a modern digital media platform that creates engaging social experiences for audiences through a depth of research, the reach of publishing, and relevance of live video."
BGR,http://bgr.com,"BGR is an online destination for news and reviews in the mobile and consumer electronics markets. It's a source of exclusive and breaking mobile news, and a technology category leader among early adopters."
TechCrunch,https://techcrunch.com,"Founded by Michael Arrington and later sold to AOL, TechCrunch has remained as one of the leaders covering tech industry news."
ZDNet,https://www.zdnet.com/,"Founded almost 30 years ago, Zdnet is a business technology news website that provides news, analysis, and research on the the latest IT trends, issues and events for the technology professionals."
Android Authority,https://www.androidauthority.com/,"With over 7 million followers on social sites, AndroidAuthority is the largest publication dedicated to the world's most widely used operating system."
Android Central,https://www.androidcentral.com/,"AndroidCentral is led by a team of experts and backed by an engaged community of technology enthusiasts and taste-makers, Android Central navigates the competitive world of Android."
Tech.eu,https://tech.eu,"Tech.eu is the premier online publication dedicated to the growing European technology ecosystem(s), delivering a range of editorial products."
Wired,https://www.wired.com,"Wired.com focuses on how emerging technologies affect culture, the economy, and politics.The website provides an in-depth coverage of current and future trends in technology."
Ars Technica,https://arstechnica.com/,"Founded by Ken Fisher over 20 years ago, Arstechnica (Art of Technology) is devoted to the latest technology that would cater to what he called ""alpha geeks"": technologists and IT professionals."
SlashGear,https://www.slashgear.com/,"SlashGear covers everything from cutting-edge tech gear to the latest digital lifestyle trends. Distinctive, informative and fresh, they bring device information and reviews you can trust."
Techdirt.,https://www.techdirt.com/,"Techdirt is an internet blog that reports on technology's legal challenges and related business and economic policy issues, in context of the digital revolution."
The Next Web,https://thenextweb.com/,"TheNextWeb brings insights to the world of technology, internet of things, development, coding, infrastructure, security, cloud. The website also deals with TNW conference and events."
Macworld,https://www.macworld.com,"A website dedicated to products and software of Apple Inc. Macworld combines product reviews, valuable tips, and analysis of the latest news and developments."
TechSpot,https://www.techspot.com,"Established over 20 years ago with over 6 million readers monthly, TechSpot is a leading computer and technology publication viewed by power users, tech enthusiasts, IT decision makers and gamers."
GeekWire,https://www.geekwire.com/,"Started almost 10 years ago, Geekwire is a technology news site with loyal, tech-savvy readers around the globe, who follow for breaking news, expert analysis and unique insights into the technology industry."
TechRepublic,https://www.techrepublic.com,TechRepublic helps IT decision-makers identify technologies and strategies to empower workers and streamline business processes.
Computer World,https://www.computerworld.com/,"Computerworld focuses on empowering enterprise users and their managers, by skillfully exploiting today's abundantly powerful web, mobile, and desktop applications."
How-To Geek,https://www.howtogeek.com/,"How-To Geek is an online technology magazine created more than a decade ago, the site’s 10,000+ in-depth articles have been read over 1 billion times with more than 15 million readers every month."
KnowTechie,https://knowtechie.com/,KnowTechie is a blog for people who love tech but live outside the bubble. It’s for the reader who is interested in technology but doesn’t necessarily live and breathe it.
Tech in Asia,https://www.techinasia.com,"Tech in Asia is a media, events, and jobs platform on a mission to build and serve Asia’s tech and startup community. On the website users can keep abreast of the latest news."
Information Week,https://informationweek.com/,InformationWeek is a dedicated website towards connecting the business technology community. InformationWeek defines the value of technology in the age of digital business.
HackerNoon,https://hackernoon.com/,"How hackers start their afternoons (40k+ contributors & 4M+ monthly readers). HackerNoon is built for technologists to read, write, learn, and publish."
TorrentFreak,https://torrentfreak.com,"Founded by Ernesto Van Der Sar, TorrentFreak is a publication dedicated to latest news about copyright, privacy, and everything related to file-sharing."
ReadWrite,https://readwrite.com/,"A next generation of tech media, ReadWrite aggregates professional communities dedicated to specific subjects of interest such as connected cars, smart homes, AR/VR, fintech and APIs."
TrustedReviews,http://www.trustedreviews.com/,"TrustedReviews provides expert reviews of the latest consumer electronics, IT and computing products. As well as technology industry news, analysis and product launches."
Recode,https://www.vox.com/recode,"Owned by VOX media, Recode is a technology news website that focuses on the business of Silicon Valley. It provides the latest independent tech news, reviews and analysis."
Komando.com,https://www.komando.com/,"Breaking tech news, digital-lifestyle tips and advice from radio host Kim Komando — from scam alerts to online privacy tips to getting the most out of your tech."
Extreme Tech,http://www.extremetech.com,"ExtremeTech is the internet's top destination for news and analysis of emerging science and technology trends, and important software, hardware, and gadgets."
Technology Personalized,https://techpp.com/,"This is a Tech blog with a focus on personal and consumer technology. The best place for meaningful tech news, analysis, views and reviews."
Stratechery,https://stratechery.com/,"Stratechery provides analysis of the strategy and business side of technology and media, and the impact of technology on society. Weekly Articles are free."
TechNewsWorld,https://www.technewsworld.com/,"Technewsworld provides important technology news, developments and trends with insightful analysis and commentary. Coverage includes hardware, software, networking, wireless computing, and more."
e27,https://e27.co/,"E27 is a platform for news, community, events, talent, funding and more for tech startups. Everything needed to build a billion-dollar company is covered here."
TalkAndroid,https://www.talkandroid.com/,"TalkAndroid was founded in 2008, posting news articles on Android, Chromebook, and Smart Home along with device reviews and how-to guides ever since."
GroovyPost,https://www.groovypost.com/,"The blog covers all things technology including tech news, reviews, privacy editorial, tips, and the best how to galleries on the net."
Tech Commuters,https://www.techcommuters.com/,"Tech Commuters is a leading information technology and data property that is run by tenured technology professionals. 
They are focused on applied information on a range of topics."
Tech Business News,https://www.techbusinessnews.com.au,Tech Business News is a reliable and popular online resource of information about technology and hi-tech news
Techthelead,http://techthelead.com/,"The latest tech news that actually matters, with a focus on world-changing inventions and studies."
Gigaom,https://gigaom.com/blog/,"With over 6.5 million unique visitors each month, Gigoam take on the trends and tools that are shaping the economy of the 21st century, including Cloud, Data, Mobile, Work Futures, and the IoT."
The Loop,http://www.loopinsight.com/,"Filled with latest titbits of news about Apple and the tech market in general, LoopInsight also provides a more in-depth coverage on the topics that matter to you."
TechEngage,https://techengage.com/,"TechEngage is the source of latest technology news, opinions, how-to guides, & reviews covering artificial intelligence, science, computing, gadgets & more."
